config,row_id,source_de,reference_en,prediction_en,seconds,tokens_per_second,generated_tokens,bigram_repetition
OPUS autoregressive_encoder_decoder,0,Gutach: Noch mehr Sicherheit für Fußgänger,Gutach: Increased safety for pedestrians,Gutach: More safety for pedestrians,0.25072013700003026,39.885109028952044,10,0.0
OPUS autoregressive_encoder_decoder,1,Sie stehen keine 100 Meter voneinander entfernt: Am Dienstag ist in Gutach die neue B 33-Fußgängerampel am Dorfparkplatz in Betrieb genommen worden - in Sichtweite der älteren Rathausampel.,"They are not even 100 metres apart: On Tuesday, the new B 33 pedestrian lights in Dorfparkplatz in Gutach became operational - within view of the existing Town Hall traffic lights.",They are not 100 meters apart: On Tuesday the new B 33 pedestrian light at the village parking lot was put into operation in Gutach - in sight of the older town hall lamp.,0.2552477929999668,152.792702109691,39,0.0
OPUS autoregressive_encoder_decoder,2,Zwei Anlagen so nah beieinander: Absicht oder Schildbürgerstreich?,Two sets of lights so close to one another: intentional or just a silly error?,Two plants so close together: intention or shield citizen's stroke?,0.1302027699999826,122.88525044438101,16,0.0
OPUS autoregressive_encoder_decoder,3,Diese Frage hat Gutachs Bürgermeister gestern klar beantwortet.,"Yesterday, Gutacht's Mayor gave a clear answer to this question.",Gutach's mayor answered that question clearly yesterday.,0.08213187399996968,158.28203311183182,13,0.0
OPUS autoregressive_encoder_decoder,4,"""Die Rathausampel ist damals installiert worden, weil diese den Schulweg sichert"", erläuterte Eckert gestern.","""At the time, the Town Hall traffic lights were installed because this was a school route,"" explained Eckert yesterday.","""The town hall lamp was installed at the time because it secures the school path,"" Eckert explained yesterday.",0.23504930199999308,106.3606647085501,25,0.0
OPUS autoregressive_encoder_decoder,5,Die Kluser-Ampel sichere sowohl Radfahrer als auch Busfahrgäste und die Bergle-Bewohner.,"The Kluser lights protect cyclists, as well as those travelling by bus and the residents of Bergle.",The Kluser traffic lights are safe for cyclists as well as bus passengers and the inhabitants of Bergle.,0.3326231659999621,72.15372365255742,24,0.0
OPUS autoregressive_encoder_decoder,6,Die gestern offiziell in Betrieb genommene Anlage sei wichtig für den Kreuzungsbereich Sulzbachweg/Kirchstraße.,"The system, which officially became operational yesterday, is of importance to the Sulzbachweg/Kirchstrasse junction.",The plant officially commissioned yesterday was important for the Sulzbachweg/Kirchstraße crossing area.,0.4655646410000145,49.402377187831334,23,0.0
OPUS autoregressive_encoder_decoder,7,"Wir haben das Museum, zwei Kirchen, Kurpark, die Bushaltestelle, einen Arzt und eine Bank sowie den Verkehrsfluss aus dem Wohngebiet ›Grub‹.","We have the museum, two churches, the spa gardens, the bus stop, a doctor's practice and a bank, not to mention the traffic from the 'Grub' residential area.","We have the museum, two churches, spa park, bus stop, doctor and bank, and the traffic flow from the residential area ›Grub‹.",0.39525427399996715,83.49055828300226,33,0.0
OPUS autoregressive_encoder_decoder,8,"""Bei dem hohen Verkehrs- und Fußgängeraufkommen musste zu deren Sicherheit eine weitere Ampel her"", so Eckert.","""At times of high road and pedestrian traffic, an additional set of lights were required to ensure safety,"" said Eckert.","""With the high traffic and pedestrian traffic, another traffic light had to be used to ensure their safety,"" says Eckert.",0.19573691900006907,137.9402523444771,27,0.0
OPUS autoregressive_encoder_decoder,9,Dies bestätigt auch Peter Arnold vom Landratsamt Offenburg.,This was also confirmed by Peter Arnold from the Offenburg District Office.,This is confirmed by Peter Arnold of the Offenburg District Council.,0.3274565159999838,45.807608849050176,15,0.0
