config,row_id,source_de,reference_en,prediction_en,seconds,tokens_per_second,generated_tokens,bigram_repetition
E2D2 official_b4_s4_cache,0,Gutach: Noch mehr Sicherheit für Fußgänger,Gutach: Increased safety for pedestrians,Well: more safety for pedestrians.,0.14252311999996436,56.13124382908541,8,0.0
OPUS autoregressive_encoder_decoder,0,Gutach: Noch mehr Sicherheit für Fußgänger,Gutach: Increased safety for pedestrians,Gutach: More safety for pedestrians,0.06188441100005093,161.59158402576975,10,0.0
E2D2 official_b4_s4_cache,1,Sie stehen keine 100 Meter voneinander entfernt: Am Dienstag ist in Gutach die neue B 33-Fußgängerampel am Dorfparkplatz in Betrieb genommen worden - in Sichtweite der älteren Rathausampel.,"They are not even 100 metres apart: On Tuesday, the new B 33 pedestrian lights in Dorfparkplatz in Gutach became operational - within view of the existing Town Hall traffic lights.",They are not 100 metres away: On Tuesday the new B 33 pedestrian light at the village parking lot was put into operation in Gutach - within walking distance of the older town hall light.,0.7973209470000029,55.184803767609836,44,0.0
OPUS autoregressive_encoder_decoder,1,Sie stehen keine 100 Meter voneinander entfernt: Am Dienstag ist in Gutach die neue B 33-Fußgängerampel am Dorfparkplatz in Betrieb genommen worden - in Sichtweite der älteren Rathausampel.,"They are not even 100 metres apart: On Tuesday, the new B 33 pedestrian lights in Dorfparkplatz in Gutach became operational - within view of the existing Town Hall traffic lights.",They are not 100 meters apart: On Tuesday the new B 33 pedestrian light at the village parking lot was put into operation in Gutach - in sight of the older town hall lamp.,0.2396883330000037,162.7112989266749,39,0.0
E2D2 official_b4_s4_cache,2,Zwei Anlagen so nah beieinander: Absicht oder Schildbürgerstreich?,Two sets of lights so close to one another: intentional or just a silly error?,Two plants so close to each other: intention or shield? No matter?,0.2906207930000164,55.054560394097805,16,0.0
OPUS autoregressive_encoder_decoder,2,Zwei Anlagen so nah beieinander: Absicht oder Schildbürgerstreich?,Two sets of lights so close to one another: intentional or just a silly error?,Two plants so close together: intention or shield citizen's stroke?,0.10235211799999888,156.32309631345564,16,0.0
E2D2 official_b4_s4_cache,3,Diese Frage hat Gutachs Bürgermeister gestern klar beantwortet.,"Yesterday, Gutacht's Mayor gave a clear answer to this question.","Gutach Mayor gave a clear answer to this question yesterday. The answer was given to this question. The answer was given to the question yesterday, and the question was answered.",0.6456783070000256,55.75531903381504,36,0.2727272727272727
OPUS autoregressive_encoder_decoder,3,Diese Frage hat Gutachs Bürgermeister gestern klar beantwortet.,"Yesterday, Gutacht's Mayor gave a clear answer to this question.",Gutach's mayor answered that question clearly yesterday.,0.08103203999996822,160.43036803719983,13,0.0
E2D2 official_b4_s4_cache,4,"""Die Rathausampel ist damals installiert worden, weil diese den Schulweg sichert"", erläuterte Eckert gestern.","""At the time, the Town Hall traffic lights were installed because this was a school route,"" explained Eckert yesterday.","""The Town Hall lamp was installed at that time because it ensures the school path,"" explained Eckert, yesterday.",0.4447605319999184,53.96162265586193,24,0.0
OPUS autoregressive_encoder_decoder,4,"""Die Rathausampel ist damals installiert worden, weil diese den Schulweg sichert"", erläuterte Eckert gestern.","""At the time, the Town Hall traffic lights were installed because this was a school route,"" explained Eckert yesterday.","""The town hall lamp was installed at the time because it secures the school path,"" Eckert explained yesterday.",0.15778194200004236,158.44652235294004,25,0.0
