row_id,source_de,reference_en,e2d2_prediction,e2d2_seconds,e2d2_tokens_per_second,e2d2_bigram_repetition,opus_prediction,opus_seconds,opus_tokens_per_second,opus_bigram_repetition,nota_analisis
0,Gutach: Noch mehr Sicherheit für Fußgänger,Gutach: Increased safety for pedestrians,Well: more safety for pedestrians.,0.14273857400007728,56.04651760074098,0.0,Gutach: More safety for pedestrians,0.252811688999941,39.55513306982548,0.0,comparar fidelidad y fluidez
1,Sie stehen keine 100 Meter voneinander entfernt: Am Dienstag ist in Gutach die neue B 33-Fußgängerampel am Dorfparkplatz in Betrieb genommen worden - in Sichtweite der älteren Rathausampel.,"They are not even 100 metres apart: On Tuesday, the new B 33 pedestrian lights in Dorfparkplatz in Gutach became operational - within view of the existing Town Hall traffic lights.",They are not 100 metres away: On Tuesday the new B 33 pedestrian light at the village parking lot was put into operation in Gutach - within walking distance of the older town hall light.,0.8116090519999943,54.2132938162453,0.0,They are not 100 meters apart: On Tuesday the new B 33 pedestrian light at the village parking lot was put into operation in Gutach - in sight of the older town hall lamp.,0.2636361559999614,147.93115099131438,0.0,comparar fidelidad y fluidez
2,Zwei Anlagen so nah beieinander: Absicht oder Schildbürgerstreich?,Two sets of lights so close to one another: intentional or just a silly error?,Two plants so close to each other: intention or shield? No matter?,0.28764903199999026,55.623340321202754,0.0,Two plants so close together: intention or shield citizen's stroke?,0.11863402599999517,134.8685578621487,0.0,comparar fidelidad y fluidez
3,Diese Frage hat Gutachs Bürgermeister gestern klar beantwortet.,"Yesterday, Gutacht's Mayor gave a clear answer to this question.","Gutach Mayor gave a clear answer to this question yesterday. The answer was given to this question. The answer was given to the question yesterday, and the question was answered.",0.6541398300000765,55.034104864086615,0.2727272727272727,Gutach's mayor answered that question clearly yesterday.,0.1291156579999324,100.68492235083374,0.0,E2D2 con repeticion; E2D2 salida larga
4,"""Die Rathausampel ist damals installiert worden, weil diese den Schulweg sichert"", erläuterte Eckert gestern.","""At the time, the Town Hall traffic lights were installed because this was a school route,"" explained Eckert yesterday.","""The Town Hall lamp was installed at that time because it ensures the school path,"" explained Eckert, yesterday.",0.42302466399996774,56.734280628142834,0.0,"""The town hall lamp was installed at the time because it secures the school path,"" Eckert explained yesterday.",0.24440621799999462,102.28872327626522,0.0,comparar fidelidad y fluidez
5,Die Kluser-Ampel sichere sowohl Radfahrer als auch Busfahrgäste und die Bergle-Bewohner.,"The Kluser lights protect cyclists, as well as those travelling by bus and the residents of Bergle.",The Kluser lights protect both cyclists and bus passengers and the Bergle residents. The light is also used for safety. The light is used to protect cyclists and bus passengers.,0.7316787920000252,49.20191810069406,0.1875,The Kluser traffic lights are safe for cyclists as well as bus passengers and the inhabitants of Bergle.,0.38365075500007606,62.55689500727098,0.0,E2D2 con repeticion; E2D2 salida larga
6,Die gestern offiziell in Betrieb genommene Anlage sei wichtig für den Kreuzungsbereich Sulzbachweg/Kirchstraße.,"The system, which officially became operational yesterday, is of importance to the Sulzbachweg/Kirchstrasse junction.",The facility officially opened yesterday was important for the crossroads Sulzbachweg/Kirchstraße. The plant was opened yesterday and was important for the development of the plant.,0.6905003820000957,52.13610439392199,0.17857142857142858,The plant officially commissioned yesterday was important for the Sulzbachweg/Kirchstraße crossing area.,0.5222379720000845,44.04122494561977,0.0,E2D2 con repeticion; E2D2 salida larga
7,"Wir haben das Museum, zwei Kirchen, Kurpark, die Bushaltestelle, einen Arzt und eine Bank sowie den Verkehrsfluss aus dem Wohngebiet ›Grub‹.","We have the museum, two churches, the spa gardens, the bus stop, a doctor's practice and a bank, not to mention the traffic from the 'Grub' residential area.","We have a museum, two churches, spa park, bus stop, a doctor and a bank as well as a traffic flow from the residential area ©Grubethen.",0.86793749200001,41.4776413414799,0.0,"We have the museum, two churches, spa park, bus stop, doctor and bank, and the traffic flow from the residential area ›Grub‹.",0.31468574000007266,104.86652493370809,0.0,comparar fidelidad y fluidez
8,"""Bei dem hohen Verkehrs- und Fußgängeraufkommen musste zu deren Sicherheit eine weitere Ampel her"", so Eckert.","""At times of high road and pedestrian traffic, an additional set of lights were required to ensure safety,"" said Eckert.","""The high traffic and pedestrian volume had to create another traffic light for their safety"", says Eckert, Germany.",0.5570737709999776,43.08226531096358,0.0,"""With the high traffic and pedestrian traffic, another traffic light had to be used to ensure their safety,"" says Eckert.",0.25825104399996235,104.54943214093623,0.0,comparar fidelidad y fluidez
9,Dies bestätigt auch Peter Arnold vom Landratsamt Offenburg.,This was also confirmed by Peter Arnold from the Offenburg District Office.,This is also confirmed by Peter Arnold of the State Council of Offenburg.,0.4033274390000088,39.67000122696748,0.0,This is confirmed by Peter Arnold of the Offenburg District Council.,0.10286975500002882,145.81545372588667,0.0,comparar fidelidad y fluidez
